Object IDs,First Version Object ID,KeyValuePair.Assembly Key,First Category,First elementId,Sum of Embodied Carbon_lbs/CO2,First Area,Sum of Embodied Carbon per ft2(lbsCO2/ft2)
483f5ce7fe5fb99f98a9db94c61b58a0,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,13620641,146.96448,28.03125,5.24288
48617c048c8bd842d854dd25a0225cdb,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,15986371,1489.92256,53.375,27.91424
488dbc40008df473d8aba5cfa9033160,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14600008,11597.4477,415.4670769,27.91424
48f7399ef909ddf2f77c387b5b4c5d7e,15734f8ae9f81ad6e273d75acad015f6,W06,Walls,10440185,7649.090674,224.7777778,34.029568
4975139d6666fe63d48f858d4add5674,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11050000,3095.86368,110.90625,27.91424
49d09674c6f1c521d203f75ea3eb917e,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,10352648,25932.93801,1281.376987,20.238336
49e004b6dcdb3524680d191a7137daad,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,11383779,641.6419183,31.70428232,20.238336
49f51eb27ef8f6174a43fea0fc699547,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,16039336,95.20943657,18.15975887,5.24288
4a1c1416760e951d83441587fa3b393d,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10447944,1311.581582,46.98611111,27.91424
4b8fff52a4c659f88a815905538fef19,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10341467,4349.969067,155.8333333,27.91424
4ba79c56eb74a3cfa0ce15ac95e620fb,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13577283,7536.8448,270,27.91424
4d8b5b24e7bb63a78afd9bf17a187933,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,10789711,7128.905521,315.585757,22.58944
4e69145b690c45bbfe12345aefe57d42,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,12647681,9995.217592,233.1809527,42.86464
4f23cbca0fb02a1ca6a798a417ba2974,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13722387,2683.25632,96.125,27.91424
4f490a431f52faa4ebb22a012318443f,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,7313952,5424.667306,194.3333333,27.91424
4fab713f2c681103a26473457ed47a83,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10446704,4210.397867,150.8333333,27.91424
516477716d7cfb9c29c48571fb492174,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11052117,3058.063147,109.5520833,27.91424
5182f3a3ea3d892e6b76908a14ab2724,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,12658492,2725.418453,97.63541667,27.91424
532a633317ffafdc1336025748197bae,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,10473801,2948.61312,145.6944444,20.238336
538b349194323729f78c80d742230970,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,12658557,916.5175467,32.83333333,27.91424
54b187aa56f7819be52428c376222e5b,15734f8ae9f81ad6e273d75acad015f6,W05,Walls,10365419,14397.66289,1163.540025,12.374016
